,Max Depth,Theta,MSE
0,3,1,11.93
1,3,2,11.93
2,3,3,11.93
3,3,4,11.93
4,3,5,11.93
5,3,6,11.93
6,3,7,11.93
7,3,8,11.93
8,3,9,11.93
9,3,10,11.93
10,4,1,11.93
11,4,2,11.93
12,4,3,11.93
13,4,4,11.93
14,4,5,11.93
15,4,6,11.93
16,4,7,11.93
17,4,8,11.93
18,4,9,11.93
19,4,10,11.93
20,5,1,11.93
21,5,2,11.93
22,5,3,11.93
23,5,4,11.93
24,5,5,11.93
25,5,6,11.93
26,5,7,11.93
27,5,8,11.93
28,5,9,11.93
29,5,10,11.93
30,6,1,11.93
31,6,2,11.93
32,6,3,11.93
33,6,4,11.93
34,6,5,11.93
35,6,6,11.93
36,6,7,11.93
37,6,8,11.93
38,6,9,11.93
39,6,10,11.93
40,7,1,11.93
41,7,2,11.93
42,7,3,11.93
43,7,4,11.93
44,7,5,11.93
45,7,6,11.93
46,7,7,11.93
47,7,8,11.93
48,7,9,11.93
49,7,10,11.93
50,8,1,11.93
51,8,2,11.93
52,8,3,11.93
53,8,4,11.93
54,8,5,11.93
55,8,6,11.93
56,8,7,11.93
57,8,8,11.93
58,8,9,11.93
59,8,10,11.93
60,9,1,11.93
61,9,2,11.93
62,9,3,11.93
63,9,4,11.93
64,9,5,11.93
65,9,6,11.93
66,9,7,11.93
67,9,8,11.93
68,9,9,11.93
69,9,10,11.93
